import time: self [us] | cumulative | imported package
import time:      7685 |       7685 |                 grpc_status
import time:      5297 |       5297 |                   grpc_status._common
import time:      6220 |       6220 |                       grpc._simple_stubs
import time:      6976 |      13195 |                     grpc.experimental
import time:      9206 |       9206 |                     grpc.experimental.aio
import time:      6061 |      28461 |                   grpc_status._async
import time:      7525 |      41282 |                 grpc_status.rpc_status
import time:      7327 |      61927 |               google.api_core.exceptions
import time:      8528 |       8528 |                 google.api_core.retry.retry_base
import time:      5767 |       5767 |                 google.api_core.retry.retry_unary
import time:      5723 |       5723 |                 google.api_core.retry.retry_unary_async
import time:      5683 |       5683 |                 google.api_core.retry.retry_streaming
import time:      5790 |       5790 |                 google.api_core.retry.retry_streaming_async
import time:      5435 |       5435 |                 google.api_core.datetime_helpers
import time:      6451 |      43375 |               google.api_core.retry
import time:      5369 |       5369 |               google.api_core.timeout
import time:      6624 |     117293 |             google.api_core.gapic_v1.config
import time:      5147 |       5147 |               google.api_core.retry_async
import time:      5639 |      10786 |             google.api_core.gapic_v1.config_async
import time:      5607 |       5607 |                   google.auth.transport.mtls
import time:      5584 |      11190 |                 google.auth.transport.grpc
import time:      5320 |       5320 |                 google.api_core.general_helpers
import time:      6350 |      22859 |               google.api_core.grpc_helpers
import time:      5561 |      28419 |             google.api_core.gapic_v1.method
